Space group: I4_1/amd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5000000000000001, 0.5000000000000001, 0.4999999999999999)
  N: k=(5.551115123125783e-17, 0.5, -5.551115123125783e-17)
  P: k=(0.25000000000000006, 0.25000000000000006, 0.24999999999999994)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
# k_BCS  = [1.0000, 1.0000, 1.0000]  (BCS label: M)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0    -0.3717      -12.40            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
     1    -0.3717      -12.40            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
     2     1.0116       33.74            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
     3     1.0116       33.74            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
     4     1.8018       60.10            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
     5     1.8018       60.10            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
     6     2.2485       75.00            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
     7     2.2485       75.00            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
     8     2.2674       75.63            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
     9     2.2674       75.63            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    10     2.5401       84.73            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    11     2.5401       84.73            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    12     2.5957       86.58            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    13     2.5957       86.58            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    14     2.9051       96.90            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    15     2.9051       96.90            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    16     4.2191      140.73            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    17     4.2191      140.73            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    18     4.3813      146.14            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    19     4.3813      146.14            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    20     4.8425      161.53            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    21     4.8425      161.53            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    22     5.1128      170.55            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    23     5.1128      170.55            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    24     5.2091      173.76            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    25     5.2091      173.76            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    26     5.7708      192.49            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    27     5.7708      192.49            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    28     5.8693      195.78            -           M3  .     .    (a, 0)          (a, 0)          P4_322(#95)          II-pair 
    29     5.8693      195.78            -           M3  .     .    (0, a)          (0, a)          P4_122(#91)          II-pair 
    30     6.7497      225.15            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    31     6.7497      225.15            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    32     7.0311      234.53            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    33     7.0311      234.53            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    34     7.3598      245.50            -           M3  .     .    (a, 0)          (a, 0)          P4_322(#95)          II-pair 
    35     7.3598      245.50            -           M3  .     .    (0, a)          (0, a)          P4_122(#91)          II-pair 
    36     7.3722      245.91            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    37     7.3722      245.91            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    38     8.2464      275.07            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    39     8.2464      275.07            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    40     8.2606      275.54            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    41     8.2606      275.54            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    42     8.3487      278.48            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    43     8.3487      278.48            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    44     8.8204      294.22            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    45     8.8204      294.22            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    46     9.3610      312.25            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    47     9.3610      312.25            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
