Space group: I4_1/acd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5, 0.5, 0.5)
  N: k=(0.0, 0.5, 0.0)
  P: k=(0.25, 0.25, 0.25)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
    72    17.1337      571.52            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    73    17.1337      571.52            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    74    17.6289      588.04            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    75    17.6289      588.04            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    76    17.6311      588.11            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    77    17.6311      588.11            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    78    19.0029      633.87            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    79    19.0029      633.87            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    80    19.7391      658.43            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    81    19.7391      658.43            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    82    24.8935      830.36            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    83    24.8935      830.36            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       

# N point (Primitive coordinates)
# k_prim = [0.0000, 0.5000, 0.0000]
# k_BCS  = [0.5000, 0.0000, 0.5000]  (BCS label: N)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0     0.8938       29.81            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
     1     0.8938       29.81            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
     2     1.3374       44.61            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
     3     1.3374       44.61            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
     4     1.7222       57.45            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
     5     1.7222       57.45            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
     6     1.9508       65.07            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
     7     1.9508       65.07            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
     8     2.1703       72.39            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
     9     2.1703       72.39            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    10     2.4856       82.91            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    11     2.4856       82.91            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    12     2.6926       89.82            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    13     2.6926       89.82            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    14     2.7644       92.21            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    15     2.7644       92.21            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    16     2.8223       94.14            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    17     2.8223       94.14            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    18     3.4050      113.58            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    19     3.4050      113.58            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    20     3.5299      117.74            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    21     3.5299      117.74            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    22     3.7521      125.16            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    23     3.7521      125.16            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    24     4.1253      137.60            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    25     4.1253      137.60            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    26     4.2518      141.82            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    27     4.2518      141.82            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    28     4.5930      153.21            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    29     4.5930      153.21            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    30     4.9120      163.85            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    31     4.9120      163.85            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    32     5.2271      174.36            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    33     5.2271      174.36            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    34     5.3232      177.56            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    35     5.3232      177.56            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    36     5.4035      180.24            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    37     5.4035      180.24            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    38     5.8931      196.57            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    39     5.8931      196.57            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    40     5.9948      199.96            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
